feature,q01,q05,q50,q95,q99,cc18_outside_1_99_frac
n_rows,1091.0,1451.0,5507.0,9552.0,9909.0,0.48333333333333334
n_features,3.0,7.0,51.0,95.0,99.0,0.1
n_classes,2.0,2.0,2.0,10.0,10.0,0.0
class_entropy,0.03435955067703661,0.13942699607776832,0.6789458738789891,1.905364091994124,2.0646665781750078,0.16666666666666666
class_entropy_norm,0.04751908428817485,0.19432257139229908,0.8024080645089011,0.9931465126706353,0.9996953884159308,0.18333333333333332
max_class_fraction,0.20830836493993604,0.2615706073311339,0.626100344008899,0.9688960572176165,0.9945248471691148,0.2
overall_missing_rate,0.0,0.0,0.0,0.0,0.0,0.15
frac_cols_any_missing,0.0,0.0,0.0,0.0,0.0,0.15
unique_ratio_mean,0.002747208151490267,0.2011577041182018,0.9993255420151608,0.999975514201763,1.0,0.15
unique_ratio_min,0.00021006174767366077,0.00026399155227032733,0.9957756755239402,0.999811288708127,1.0,0.11666666666666667
unique_ratio_max,0.00857954853139365,0.9994378745991296,1.0,1.0,1.0,0.2
numeric_abs_skew_mean,0.00974950123288559,0.01270657209502938,0.11805586757245806,0.9252683602741076,1.6082014591659188,0.43333333333333335
numeric_kurtosis_mean,-1.2080368732709674,-1.2022406588562884,-0.028778138225458237,2.4958953213594026,12.999413587631162,0.4
numeric_heavy_tail_frac,0.0,0.0,0.0,0.55,1.0,0.0
mean_abs_corr,0.02772140902442167,0.032043416481263035,0.03681744492734659,0.3064189130627317,0.49342646369811455,0.15
effective_rank,2.4962071268917656,4.661068303570006,19.529826840100622,19.656982474463714,19.68413791451933,0.43333333333333335
n_numeric_features,3.0,7.0,51.0,95.0,99.0,0.23333333333333334
n_categorical_features,0.0,0.0,0.0,0.0,0.0,0.35
frac_numeric_features,1.0,1.0,1.0,1.0,1.0,0.35
frac_categorical_features,0.0,0.0,0.0,0.0,0.0,0.35
